Governate,Area Name,ATM Name,Latitude,Longitude,Description
Al-Behera,All Areas,Damanhour,31.052879,30.462731,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Alnobaria Algadida,30.671835,30.073109,Withdrawal
Al-Behera,All Areas,Damanhour,31.03936,30.455253,Withdrawal
Al-Behera,All Areas,Damanhour,31.03975,30.458095,Withdrawal
Al-Behera,All Areas,Rashid,31.4063106180001,30.423861399,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Shabrakhiet,31.030521676,30.7135767940001,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Alnobaria Algadida,30.632194,30.2275,Withdrawal
Al-Behera,All Areas,Alnobaria Algadida,30.662002,30.08606,Withdrawal
Al-Behera,All Areas,Damanhour,31.044442,30.470853,Withdrawal
Al-Behera,All Areas,Etay Al Barroud,30.884833879,30.6636461690001,Withdrawal
Al-Behera,All Areas,Abu Al Matamir,30.9107890830001,30.1770190500001,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Damanhour,31.034502812,30.4746979810001,Withdrawal
Al-Behera,All Areas,Damanhour,31.034494636,30.4747126180001,Withdrawal
Al-Behera,All Areas,Damanhour,31.0424194780001,30.4689092350001,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Abu Al Matamir,30.814059021,29.988302447,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Housh Eissa,30.9177083330001,30.3004362770001,Withdrawal -Deposit – Forex
Al-Behera,All Areas,Kafr Al-Dawar,31.133868218,30.135129858,Withdrawal
Al-Behera,All Areas,Koum Hamada,30.7637538990001,30.6997476380001,Withdrawal -Deposit – Forex
Al-Behera,All Areas,El Dalangat,30.827806,30.536877,Withdrawal
Al-Behera,All Areas,El Dalangat,30.82785,30.536831,Withdrawal
Al-Behera,All Areas,Etay Al Barroud,30.884864,30.665297,Withdrawal
Al-Behera,All Areas,Housh Eissa,30.915766,30.297315,Withdrawal
Al-Behera,All Areas,Rashid,31.40487,30.423086,Withdrawal
Al-Behera,All Areas,Kafr Al-Dawar,31.135432,30.129149,Withdrawal
Al-Behera,All Areas,Koum Hamada,30.760111,30.694501,Withdrawal
Al-Behera,All Areas,Wady Elnatroon,30.395427,30.37151,Withdrawal
Al-Behera,All Areas,Shabrakhiet,31.027977,30.711581,Withdrawal
Al-Behera,All Areas,Al Mahmoudeya,31.184945,30.52952,Withdrawal
Al-Behera,All Areas,Al Mahmoudeya,31.175947,30.529477,Withdrawal
Al-Behera,All Areas,Koum Hamada,30.699037,30.668604,Withdrawal
Al-Behera,All Areas,Etay Al Barroud,30.886553,30.667319,Withdrawal
Al-Behera,All Areas,Damanhour,31.036522,30.456495,Withdrawal
Al-Behera,All Areas,Damanhour,31.04408,30.475274,Withdrawal
